session_index,block,phase,is_deload,session_type,warmup,main_set,cooldown,total_min_approx,hr_cap_pct_max_hr,target_kcal_per_min,status
1,1,Phase 1: Base Building,False,RunWalkA,5 min easy walk + dynamic mobility,Run 60s / Walk 150s x 6 rounds,5 min slow walk + static stretch,31,70,5.5,scheduled
2,1,Phase 1: Base Building,False,Calisthenics,5 min easy walk + dynamic mobility,"2 rounds: Squat x10, Push-up x8, Glute bridge x12, Plank 20s, Knee raise x10/side, March 30s. Rest 60-90s/round.",5 min slow walk + static stretch,22,70,5.0,scheduled
3,1,Phase 1: Base Building,False,RunWalkB,5 min easy walk + dynamic mobility,Run 60s / Walk 150s x 6 rounds,5 min slow walk + static stretch,31,70,6.0,scheduled
4,1,Phase 1: Base Building,False,Combined,5 min easy walk + dynamic mobility,"Steady brisk walk 30 min continuous, Zone 2 (conversational pace)",5 min slow walk + static stretch,30,70,6.0,scheduled
5,1,Phase 1: Base Building,False,RunWalkC,5 min easy walk + dynamic mobility,Run 60s / Walk 150s x 6 rounds,5 min slow walk + static stretch,31,70,6.5,scheduled
6,2,Phase 1: Base Building,False,RunWalkA,5 min easy walk + dynamic mobility,Run 68s / Walk 145s x 6 rounds,5 min slow walk + static stretch,31,70,6.1,scheduled
7,2,Phase 1: Base Building,False,Calisthenics,5 min easy walk + dynamic mobility,"2 rounds: Squat x11, Push-up x9, Glute bridge x13, Plank 21s, Knee raise x11/side, March 31s. Rest 60-90s/round.",5 min slow walk + static stretch,22,70,5.5,scheduled
8,2,Phase 1: Base Building,False,RunWalkB,5 min easy walk + dynamic mobility,Run 68s / Walk 145s x 6 rounds,5 min slow walk + static stretch,31,70,6.6,scheduled
9,2,Phase 1: Base Building,False,Combined,5 min easy walk + dynamic mobility,"Steady brisk walk 30 min continuous, Zone 2 (conversational pace)",5 min slow walk + static stretch,30,70,6.7,scheduled
10,2,Phase 1: Base Building,False,RunWalkC,5 min easy walk + dynamic mobility,Run 68s / Walk 145s x 6 rounds,5 min slow walk + static stretch,31,70,7.1,scheduled
11,3,Phase 1: Base Building,False,RunWalkA,5 min easy walk + dynamic mobility,Run 76s / Walk 140s x 6 rounds,5 min slow walk + static stretch,32,70,6.6,scheduled
12,3,Phase 1: Base Building,False,Calisthenics,5 min easy walk + dynamic mobility,"2 rounds: Squat x12, Push-up x10, Glute bridge x14, Plank 22s, Knee raise x12/side, March 32s. Rest 60-90s/round.",5 min slow walk + static stretch,22,70,5.9,scheduled
13,3,Phase 1: Base Building,False,RunWalkB,5 min easy walk + dynamic mobility,Run 76s / Walk 140s x 6 rounds,5 min slow walk + static stretch,32,70,7.2,scheduled
